!!!SBtab DocumentName='Pathway Model' SBtabVersion='1.0'
!!SBtab TableName='Reaction' TableID='Reaction' TableType='Reaction'  
!ReactionFormula	!RelativeFlux
D-Glucose + ATP <=> D-Glucose 6-phosphate + ADP	3
D-Glucose 6-phosphate <=> D-Fructose 6-phosphate	3
ATP + D-Fructose 6-phosphate <=> ADP + Fructose-1,6-bisphosphate	3
Fructose-1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate	3
Glycerone phosphate <=> D-Glyceraldehyde 3-phosphate	3
Pi + NAD+ + D-Glyceraldehyde 3-phosphate <=> NADH + 1,3-Bisphosphoglycerate	6
ADP + 1,3-Bisphosphoglycerate <=> ATP + D-Glycerate-3-phosphate	6
D-Glycerate-3-phosphate <=> D-Glycerate-2-phosphate	6
D-Glycerate-2-phosphate <=> Phosphoenolpyruvate + H2O	6
ADP + Phosphoenolpyruvate <=> Pyruvate + ATP	6
Pyruvate <=> Acetaldehyde + CO2	2
Acetaldehyde + NADH <=> Ethanol + NAD+	2
Pyruvate + NADH <=> Lactate + NAD+	2
Coenzyme A + Pyruvate <=> Acetyl-CoA + Formate	2
CoA + Pyruvate + 2 Oxidized ferredoxin <=> CO2 + Acetyl-CoA + 2 Reduced ferredoxin	2
NADH + 2 Reduced ferredoxin <=> NAD+  + 2 Oxidized ferredoxin + 2 Hydrogen	2
